                                       C1,,,,,                                       C2,,,,,                                     C3,,,,,                                      C4,,,,
Time(min),set1,set2,set3,Mean,Time(min),set1,set2,set3,Mean,Time(min),set1,set2,set3,Mean,Time(min),set1,Set2,set3,Mean
0,0.573531915,0.516916867,0.39917076,0.496539847,0,0.533528494,0.397643184,0.377966616,0.436379431,0,0.379448221,0.252292531,0.361121598,0.330954117,0,0.466471479,0.361121598,,0.413796539
1,0.540110073,0.588453085,0.347135669,0.491899609,1,0.532391097,0.373370963,0.339805581,0.415189214,1,0.39363061,0.257971833,0.320766511,0.324122985,1,0.499564856,0.320766511,,0.410165684
2,0.542894391,0.622881241,0.346926689,0.504234107,2,0.536254135,0.408626032,0.307814552,0.417564906,2,0.408587982,0.239304153,0.312261393,0.320051176,2,0.515552791,0.312261393,,0.413907092
3,0.557566784,0.597668925,0.347446919,0.500894209,3,0.52403779,0.353958147,0.346139778,0.408045238,3,0.383895079,0.242106694,0.294503729,0.306835167,3,0.516566461,0.294503729,,0.405535095
4,0.573287964,0.672306863,0.3488248,0.531473209,4,0.526237883,0.386150826,0.345673074,0.419353928,4,0.395661667,0.252350627,0.310701632,0.319571309,4,0.512807076,0.310701632,,0.411754354
5,0.515650385,0.601104199,0.304602413,0.473785666,5,0.536782047,0.365180969,0.301044103,0.401002373,5,0.411770932,0.231033619,0.339565342,0.327456631,5,0.508987915,0.339565342,,0.424276629
6,0.520291593,0.619338705,0.31460182,0.484744039,6,0.531572975,0.342794328,0.295482381,0.389949895,6,0.387918876,0.235118968,0.299282136,0.307439993,6,0.501001759,0.299282136,,0.400141948
7,0.523699458,0.623642771,0.260252104,0.469198111,7,0.525082614,0.358687958,0.328701765,0.404157446,7,0.393603363,0.262737136,0.409336935,0.355225811,7,0.511883611,0.409336935,,0.460610273
8,0.5940438,0.58990235,0.303629243,0.495858464,8,0.523557499,0.352048248,0.318295942,0.39796723,8,0.402915766,0.256186285,0.339962011,0.333021354,8,0.508719578,0.339962011,,0.424340795
9,0.513970759,0.660088685,0.367220688,0.513760044,9,0.525479495,0.341332866,0.305402032,0.390738131,9,0.386871466,0.235445264,0.334608635,0.318975122,9,0.513494222,0.334608635,,0.424051429
10,0.518546302,0.752454882,0.412858181,0.561286455,10,0.532522311,0.375151873,0.317343422,0.408339202,10,0.404170398,0.259521335,0.315746907,0.326479547,10,0.502148227,0.315746907,,0.408947567
11,0.532562521,0.605312989,0.374333075,0.504069528,11,0.523732685,0.341770883,0.361801614,0.409101727,11,0.398197514,0.23796956,0.341821078,0.325996051,11,0.510706117,0.341821078,,0.426263598
12,0.503251038,0.607364965,0.332997128,0.481204377,12,0.519482432,0.374292475,0.362757673,0.418844193,12,0.390414536,0.237443798,0.315253074,0.314370469,12,0.505447697,0.315253074,,0.410350386
13,0.532343309,0.593222321,0.44682747,0.524131033,13,0.53341739,0.326774158,0.329017931,0.39640316,13,0.396499406,0.233386851,0.278453391,0.302779883,13,0.50201909,0.278453391,,0.390236241
14,0.488703251,0.538564605,0.422076183,0.48311468,14,0.518321944,0.321378717,0.281761782,0.373820814,14,0.398353598,0.242086062,0.321857299,0.320765653,14,0.498526738,0.321857299,,0.410192019
15,0.512803854,0.645859722,0.377116533,0.511926703,15,0.518124605,0.304078887,0.328771363,0.383658285,15,0.390880888,0.234064729,0.377273477,0.334073031,15,0.498984056,0.377273477,,0.438128767
16,0.501048997,0.583044265,0.38910315,0.491065471,16,0.514669036,0.377518984,0.280991892,0.391059971,16,0.393256953,0.231559037,0.35201506,0.32561035,16,0.490564067,0.35201506,,0.421289564
17,0.524675206,0.663394884,0.485523151,0.557864414,17,0.513949189,0.344729552,0.311099746,0.389926162,17,0.390059974,0.237201324,0.34769519,0.324985496,17,0.495402919,0.34769519,,0.421549055
18,0.50587687,0.614684596,0.395803735,0.505455067,18,0.505629539,0.321378717,0.376293827,0.401100694,18,0.37693322,0.227782246,0.385177127,0.329964198,18,0.49736335,0.385177127,,0.441270239
19,0.492478729,0.619391062,0.347855066,0.486574952,19,0.518124605,0.324114465,0.278173193,0.373470754,19,0.379984618,0.231730286,0.334357292,0.315357399,19,0.489563995,0.334357292,,0.411960644
20,0.497594246,0.814122861,0.37915663,0.563624579,20,0.498119208,0.364990913,0.282924698,0.382011606,20,0.401826908,0.229363561,0.358758744,0.329983071,20,0.478729599,0.358758744,,0.418744172
21,0.507666649,0.927422073,0.400925577,0.612004766,21,0.498908294,0.390712449,0.296313032,0.395311258,21,0.394634975,0.232664251,0.345778848,0.324359358,21,0.490295993,0.345778848,,0.418037421
22,0.527544449,0.833546147,0.321258511,0.560783036,22,0.512524897,0.337383032,0.274512105,0.374806678,22,0.385484047,0.223791977,0.319384887,0.309553637,22,0.489876055,0.319384887,,0.404630471
23,0.487258869,0.760832294,0.315605416,0.521232193,23,0.503394731,0.342772093,0.319778128,0.388648317,23,0.374005563,0.219300495,0.35414507,0.315817043,23,0.483723723,0.35414507,,0.418934397
24,0.508949459,0.760832294,0.339766692,0.536516148,24,0.510193838,0.350076319,0.313962701,0.391410953,24,0.379637895,0.21043243,0.330995564,0.307021963,24,0.480729083,0.330995564,,0.405862324
25,0.517600007,0.804157137,0.377751152,0.566502765,25,0.503738496,0.342324574,0.291022636,0.379028569,25,0.3852748,0.231144915,0.287928649,0.301449455,25,0.483798253,0.287928649,,0.385863451
26,0.500641095,0.904448119,0.416636669,0.607241961,26,0.495771978,0.327748479,0.293905509,0.372475322,26,0.406689816,0.214098201,0.362660227,0.327816081,26,0.477383026,0.362660227,,0.420021627
27,0.494807146,0.828442576,0.336186775,0.553145499,27,0.493010143,0.321199299,0.29231118,0.368840207,27,0.383784281,0.223032749,0.376860614,0.327892548,27,0.483127239,0.376860614,,0.429993927
28,0.501300135,0.772749143,0.36020465,0.544751309,28,0.497383017,0.351074195,0.299945402,0.382800871,28,0.38767606,0.236865457,0.327990007,0.317510508,28,0.480894689,0.327990007,,0.404442348
29,0.492102994,0.674751944,0.387712107,0.518189015,29,0.495741928,0.359892698,0.273898728,0.376511118,29,0.384423001,0.243241862,0.325085781,0.317583548,29,0.486406059,0.325085781,,0.40574592
30,0.503213205,0.863903174,0.459830503,0.608982294,30,0.48823082,0.329366985,0.316254739,0.377950848,30,0.378626529,0.225950282,0.333204817,0.312593876,30,0.479697369,0.333204817,,0.406451093
31,0.501155054,0.7294379,0.330000929,0.520197961,31,0.487790544,0.332826031,0.369793071,0.396803215,31,0.385316801,0.212437373,0.325499847,0.30775134,31,0.466283038,0.325499847,,0.395891443
32,0.48256784,0.554583563,0.421967977,0.486373127,32,0.489251712,0.288186698,0.342120432,0.373186281,32,0.378058086,0.234764078,0.332979443,0.315267202,32,0.481101886,0.332979443,,0.407040665
33,0.503972466,0.605136752,0.379698673,0.496269297,33,0.475777991,0.354367135,0.36063069,0.396925272,33,0.382577798,0.211915946,0.378184773,0.324226172,33,0.465001763,0.378184773,,0.421593268
34,0.483320903,0.639221621,0.455236952,0.525926492,34,0.49086474,0.351136496,0.32322559,0.388408942,34,0.375488073,0.207250892,0.331851632,0.304863532,34,0.46574165,0.331851632,,0.398796641
35,0.496955376,0.593268255,0.383318648,0.49118076,35,0.493394645,0.310857891,0.363090799,0.389114445,35,0.382623919,0.241525853,0.308909058,0.31101961,35,0.467997841,0.308909058,,0.38845345
36,0.511287811,0.598596869,0.405796918,0.505227199,36,0.473051743,0.313669606,0.323741521,0.37015429,36,0.392593561,0.216956351,0.304269504,0.304606472,36,0.469332591,0.304269504,,0.386801048
37,0.517515827,0.525878783,0.333188551,0.458861054,37,0.481851092,0.322857979,0.331979287,0.378896119,37,0.376454219,0.248827313,0.34762699,0.324302841,37,0.462389148,0.34762699,,0.405008069
38,0.50708059,0.674070883,0.443746376,0.541632616,38,0.486676982,0.309861898,0.325698041,0.374078974,38,0.363929422,0.221403151,0.295666709,0.293666427,38,0.477147512,0.295666709,,0.386407111
39,0.534766574,0.558453166,0.329397647,0.474205796,39,0.479761926,0.353278591,0.309993731,0.381011416,39,0.391742249,0.200628615,0.344480798,0.312283887,39,0.458519881,0.344480798,,0.40150034
40,0.517300564,0.589895241,0.399094646,0.502096817,40,0.474634501,0.321696519,0.318634315,0.371655112,40,0.381138279,0.218522739,0.345545138,0.315068719,40,0.475726479,0.345545138,,0.410635809
41,0.508383257,0.617467727,0.441209308,0.522353431,41,0.47793252,0.356062537,0.374256377,0.402750478,41,0.367148182,0.240508148,0.328122154,0.311926161,41,0.459414377,0.328122154,,0.393768266
42,0.534176182,0.652439729,0.576426283,0.587680731,42,0.478878588,0.357941817,0.265651851,0.367490752,42,0.368980824,0.206040472,0.292879352,0.289300216,42,0.467903479,0.292879352,,0.380391416
43,0.553598762,0.5964689,0.410622157,0.52022994,43,0.55240919,0.295425311,0.273440708,0.373758403,43,0.377940258,0.217490043,0.280018487,0.291816263,43,0.46868866,0.280018487,,0.374353574
44,0.520873643,0.586552602,0.397612759,0.501679668,44,0.507846032,0.356865169,0.38047055,0.415060584,44,0.362994377,0.22193158,0.370891303,0.318605753,44,0.461012514,0.370891303,,0.415951909
45,0.492872266,0.595575497,0.373766785,0.487404849,45,0.476825852,0.345674049,0.327487508,0.383329136,45,0.363098117,0.225986902,0.303041206,0.297375408,45,0.46847809,0.303041206,,0.385759648
