                                      C1,,,,,,                                       C2,,,,,,                                       C3,,,,,,                                       C4,,Speckle Contrast,,
Time(min),set1,set2,set3,Mean,,Time(min),set1,set2,set3,Mean,,Time(min),set1,set2,set3,Mean,,Time(min),set1,Set2,set3,Mean
0,0.527305514,0.251976042,0.385557354,0.388279637,,0,0.350445742,0.166100547,0.385557354,0.300701214,,0,0.46493,0.158074914,0.36052313,0.327842681,,0,0.350990665,0.36052313,,0.355756898
1,0.507841843,0.3681885,0.383946655,0.419992333,,1,0.347949306,0.207484095,0.383946655,0.313126685,,1,0.46493,0.173493727,0.253895431,0.297439719,,1,0.349334323,0.253895431,,0.301614877
2,0.483262901,0.395770441,0.461210182,0.446747841,,2,0.331513443,0.26235009,0.461210182,0.351691238,,2,0.4235,0.246934619,0.317576143,0.329336921,,2,0.346699413,0.317576143,,0.332137778
3,0.448129133,0.270433382,0.470045687,0.396202734,,3,0.341186162,0.223107718,0.470045687,0.344779856,,3,0.46493,0.159593706,0.367206036,0.330576581,,3,0.329974618,0.367206036,,0.348590327
4,0.515321505,0.30620864,0.380945322,0.400825156,,4,0.31539056,0.221371107,0.380945322,0.30590233,,4,0.46493,0.204799474,0.348117478,0.339282317,,4,0.337247325,0.348117478,,0.342682401
5,0.462633884,0.23571987,0.341991669,0.346781808,,5,0.357784118,0.222526644,0.341991669,0.307434144,,5,0.46493,0.177605044,0.347237303,0.329924116,,5,0.34219932,0.347237303,,0.344718311
6,0.525289635,0.24817269,0.42056992,0.398010748,,6,0.323193222,0.236577694,0.42056992,0.326780279,,6,0.46493,0.204615281,0.264093103,0.311212795,,6,0.338263386,0.264093103,,0.301178244
7,0.496725073,0.255859595,0.400582073,0.384388914,,7,0.338955712,0.225308627,0.400582073,0.321615471,,7,0.46493,0.209423592,0.356976406,0.343776666,,7,0.354083323,0.356976406,,0.355529865
8,0.451146808,0.421090117,0.448378363,0.440205096,,8,0.34219897,0.245975583,0.448378363,0.345517639,,8,0.46459,0.20060391,0.333879728,0.333024546,,8,0.384281004,0.333879728,,0.359080366
9,0.552923833,0.329476848,0.457116827,0.446505836,,9,0.365019142,0.245086379,0.457116827,0.355740783,,9,0.46493,0.182384452,0.356131044,0.334481832,,9,0.360442018,0.356131044,,0.358286531
10,0.505943436,0.366852398,0.394470944,0.422422259,,10,0.399940086,0.207139178,0.394470944,0.333850069,,10,0.46493,0.189493832,0.41207067,0.355498167,,10,0.368901915,0.41207067,,0.390486292
11,0.532826254,0.290401134,0.445829717,0.423019035,,11,0.351357969,0.217688029,0.445829717,0.338291905,,11,0.46493,0.203087506,0.366720882,0.344912796,,11,0.37453181,0.366720882,,0.370626346
12,0.515832302,0.368278784,0.465409897,0.449840328,,12,0.336434171,0.262057124,0.465409897,0.354633731,,12,0.46493,0.258557276,0.307237521,0.343574932,,12,0.340815467,0.307237521,,0.324026494
